month_year,year,DISTRICT,BODY_CAMERA_I,count
1/1/2016,2016,1,N,151
1/1/2016,2016,1,Y,1
1/1/2016,2016,2,N,285
1/1/2016,2016,2,Y,2
1/1/2016,2016,3,N,445
1/1/2016,2016,3,Y,3
1/1/2016,2016,4,N,558
1/1/2016,2016,5,N,180
1/1/2016,2016,5,Y,1
1/1/2016,2016,6,N,477
1/1/2016,2016,7,N,802
1/1/2016,2016,7,Y,2
1/1/2016,2016,8,N,561
1/1/2016,2016,8,Y,1
1/1/2016,2016,9,N,523
1/1/2016,2016,10,N,357
1/1/2016,2016,11,N,829
1/1/2016,2016,12,N,331
1/1/2016,2016,12,Y,1
1/1/2016,2016,14,N,106
1/1/2016,2016,14,Y,10
1/1/2016,2016,15,N,338
1/1/2016,2016,16,N,213
1/1/2016,2016,17,N,144
1/1/2016,2016,18,N,166
1/1/2016,2016,19,N,164
1/1/2016,2016,20,N,84
1/1/2016,2016,22,N,183
1/1/2016,2016,24,N,315
1/1/2016,2016,24,Y,1
1/1/2016,2016,25,N,309
1/1/2016,2016,25,Y,5
1/1/2016,2016,31,N,224
1/1/2016,2016,41,N,17
1/1/2016,2016,51,N,1
1/1/2017,2017,1,N,78
1/1/2017,2017,2,N,51
1/1/2017,2017,2,Y,311
1/1/2017,2017,3,N,209
1/1/2017,2017,3,Y,7
1/1/2017,2017,4,N,82
1/1/2017,2017,4,Y,403
1/1/2017,2017,5,N,320
1/1/2017,2017,5,Y,4
1/1/2017,2017,6,N,188
1/1/2017,2017,6,Y,368
1/1/2017,2017,7,N,571
1/1/2017,2017,7,Y,9
1/1/2017,2017,8,N,415
1/1/2017,2017,8,Y,15
1/1/2017,2017,9,N,413
1/1/2017,2017,9,Y,201
1/1/2017,2017,10,N,237
1/1/2017,2017,10,Y,173
1/1/2017,2017,11,N,1168
1/1/2017,2017,11,Y,48
1/1/2017,2017,12,N,357
1/1/2017,2017,14,N,25
1/1/2017,2017,14,Y,82
1/1/2017,2017,15,N,211
1/1/2017,2017,15,Y,277
1/1/2017,2017,16,N,215
1/1/2017,2017,17,N,123
1/1/2017,2017,18,N,131
1/1/2017,2017,19,N,209
1/1/2017,2017,19,Y,2
1/1/2017,2017,20,N,163
1/1/2017,2017,22,N,156
1/1/2017,2017,22,Y,7
1/1/2017,2017,24,N,296
1/1/2017,2017,25,N,437
1/1/2017,2017,25,Y,3
1/1/2017,2017,31,N,12
1/1/2017,2017,31,Y,1
1/1/2018,2018,1,N,29
1/1/2018,2018,1,Y,138
1/1/2018,2018,2,N,26
